x_km,y_km,band,tile_id,dist_to_center_km,d_gold,d_gond,priority_weight,sensors
0,0,1,"T(+0,+0)",0.0,0.2524905781329253,0.0,5.0,5
2,-3,1,"T(+2,-3)",3.605551275463989,0.0,1.8110770276274835,5.0,5
1,-1,1,"T(+1,-1)",1.4142135623730951,0.12129038798410208,0.9262116498428253,3.1124491656111464,4
-1,2,1,"T(-1,+2)",2.23606797749979,0.1312001901488233,2.23606797749979,3.0193219380419274,2
0,1,1,"T(+0,+1)",1.0,0.242580775968204,1.0,2.2594745508599368,2
0,-1,2,"T(+0,-1)",1.0,0.7475619322340545,0.07124704998790965,3.686676039590378,5
0,-2,2,"T(+0,-2)",2.0,1.2426332863351839,0.1424940999758193,2.91975832597,3
0,-3,2,"T(+0,-3)",3.0,1.7377046404363135,0.2828427124746191,2.0710678118654746,2
1,-2,3,"T(+1,-2)",2.23606797749979,0.3737809661170274,0.8549645998549158,1.7428253271755298,2
-1,1,3,"T(-1,+1)",1.4142135623730951,0.6262715442499528,1.4142135623730951,1.210255886166029,1
-1,3,3,"T(-1,+3)",3.1622776601683795,0.5941590348128277,3.1622776601683795,1.259193632715752,1
0,2,3,"T(+0,+2)",2.0,0.7376521300693333,2.0,1.0664936045375981,1
1,-3,3,"T(+1,-3)",3.1622776601683795,0.8688523202181567,0.8246211251235323,0.9759705080055189,1
1,0,3,"T(+1,+0)",1.0,0.6163617420852313,0.997458699830735,1.224947163062421,1
2,-2,3,"T(+2,-2)",2.8284271247461903,0.49507135410112946,1.8524232996856507,1.438701212616086,1
-1,0,3,"T(-1,+0)",1.0,1.121342898351082,1.0,0.8333333333333334,0
2,-4,3,"T(+2,-4)",4.47213595499958,1.0,2.1633307652783937,0.8333333333333334,0
2,-1,3,"T(+2,-1)",2.23606797749979,0.9901427082022589,1.9236703496735603,0.8402353710258207,0
3,-3,3,"T(+3,-3)",4.242640687119285,1.0,2.80713376952364,0.8333333333333334,0
-3,2,4,"T(-3,+2)",3.605551275463989,1.9601226361017063,3.605551275463989,0.46293667928255366,1
-2,2,4,"T(-2,+2)",2.8284271247461903,1.0046424404137464,2.8284271247461903,0.8301218406820701,1
-2,3,4,"T(-2,+3)",3.605551275463989,1.0889441097354473,3.605551275463989,0.775828829541141,1
-2,4,4,"T(-2,+4)",4.47213595499958,1.8336553970619898,4.47213595499958,0.49172539332115667,1
-1,4,4,"T(-1,+4)",4.123105625617661,1.5904457864689223,4.123105625617661,0.558520122506573,1
0,3,4,"T(+0,+3)",3.0,1.2327234841704626,3.0,0.6979713887910433,1
0,4,4,"T(+0,+4)",4.0,1.9226917288579919,4.0,0.4710999653906411,1
1,2,4,"T(+1,+2)",2.23606797749979,1.6065044502874897,2.23606797749979,0.5535552374868817,1
-4,2,4,"T(-4,+2)",4.47213595499958,2.9453106905785202,4.47213595499958,0.31793361558697686,0
-3,3,4,"T(-3,+3)",4.242640687119285,2.0046380195948945,4.242640687119285,0.4535892019968663,0
1,3,4,"T(+1,+3)",3.1622776601683795,2.1015758043886197,3.1622776601683795,0.4344849290182886,0
1,4,4,"T(+1,+4)",4.123105625617661,2.6199177790039743,4.123105625617661,0.35462026852187545,0
2,2,4,"T(+2,+2)",2.8284271247461903,2.475356770505647,2.8284271247461903,0.3737819236015383,0
2,3,4,"T(+2,+3)",3.605551275463989,2.970428124606776,3.605551275463989,0.31541481487583906,0
2,4,4,"T(+2,+4)",4.47213595499958,3.4654994787079056,4.47213595499958,0.2728141160048675,0
3,2,4,"T(+3,+2)",3.605551275463989,3.344209090723803,3.605551275463989,0.28215039643605755,0
3,3,4,"T(+3,+3)",4.242640687119285,3.839280444824933,4.242640687119285,0.2475688463971808,0
4,2,4,"T(+4,+2)",4.47213595499958,4.213061410941959,4.47213595499958,0.22660006441799138,0
-1,-3,5,"T(-1,-3)",3.1622776601683795,2.60655696065447,1.2165525060596438,0.7059392403191973,1
-1,-2,5,"T(-1,-2)",2.23606797749979,2.111485606553341,1.1399527998065542,0.7462949442281607,1
-1,-1,5,"T(-1,-1)",1.4142135623730951,1.6164142524522114,1.0687057498186447,0.7882048301136375,1
0,-4,5,"T(+0,-4)",4.0,2.2327759945374424,1.216552506059644,0.7059392403191972,1
1,1,5,"T(+1,+1)",1.4142135623730951,1.1114330961863605,1.4142135623730951,0.7625246022141685,1
